business_name,postal_code,town,state,country,website,email,owner_name,source_url,_source,_email_is_generic,_email_domain,_site_domain,_email_matches_site
Backhaus Hackner,86633,Neuburg an der Donau,,,,info@backhaus-hackner.de,s. Dies gilt insbesondere für Vervielfältigung,https://www.backhaus-hackner.de/impressum,site,True,backhaus-hackner.de,,False
Pizzeria Piccola Posta,33104,Paderborn,,,,pizzeria@piccola-posta.de,Jan Gerlach,https://piccolaposta.de/impressum/,site,False,piccola-posta.de,,False
Wilma Wunder,40212,Düsseldorf,,,,duesseldorf@wilma-wunder.de,ältig,https://duesseldorf.wilma-wunder.de/,site,False,wilma-wunder.de,,False
Bäckerei Friedel,91541,Rothenburg ob der Tauber,,,,info@original-rothenburger-schneeballen.de,Walter Friedel,http://www.original-rothenburger-schneeballen.de,site,True,original-rothenburger-schneeballen.de,,False
Da Lui,52249,Eschweiler,,,,dalui_dolce_vita_front_page-510x510-crop-50-50@2x.webp,ältig von lokalen Anbietern.,https://da-lui.de/,site,False,2x.webp,,False
Taverne Akropolis,86672,Thierhaupten,,,,info@taverne-akropolis-thierhaupten.de,dieser Website,https://taverne-akropolis-thierhaupten.de,site,True,taverne-akropolis-thierhaupten.de,,False
Pizzeria La Bufalina,42697,Solingen,,,,info@pizzeria-labufalina.de,Angelo Vista,https://www.pizzeria-labufalina.de/impressum.html,site,True,pizzeria-labufalina.de,,False
Landgasthof Läuterhäusle,73432,Aalen,,,,01@2x.webp,Familie Asbrock,https://www.laeuterhaeusle.de/,site,False,2x.webp,,False
Anno Tobak,38678,Clausthal-Zellerfeld,,,,anno@anno-tobak.de,Mustafa Yilmaz,https://www.anno-tobak.de/kontakt/impressum,site,False,anno-tobak.de,,False
Gasthof Obertor,88212,Ravensburg,,,,mail@hotelobertor.de,ältig bearbeitet,https://www.hotelobertor.de/impressum/,site,True,hotelobertor.de,,False
Bauernhof-Cafe Erlenhof,37688,Beverungen,,,,Kontakt@erlenhof-cafe.de,in / Café,https://erlenhof-cafe.de/,site,True,erlenhof-cafe.de,,False
La Piazza,76829,Landau in der Pfalz,,,,info@lapiazzaedenkoben.de,"ullscreen"":false",https://www.eiscafelapiazza.de/kontakt,site,True,lapiazzaedenkoben.de,,False
La Caffètteria,20251,Hamburg,,,,reservierung@la-caffetteria.de,ältig ausgewählten Betrieben,https://la-caffetteria.de/,site,True,la-caffetteria.de,,False
Hotel Oswald,94244,Teisnach,,,,info@hotel-oswald.de,ix,https://www.hotel-oswald.de,site,True,hotel-oswald.de,,False
Forellenhof „Paschlewwer Freizeit- & Ferienhof“,6386,Osternienburger Land,,,,paschlewwer@freizeit-ferienhof.de,s an uns wenden.,https://freizeit-ferienhof.de/impressum/,site,False,freizeit-ferienhof.de,,False
Rotkäppchen Burgergrill,80337,München,,,,stefansommer1984@gmail.com,Matebu Mekonnen,https://www.kaeppchenburgergrill.de/impressum.html,site,False,gmail.com,,False
Fuchstanzklause,60489,Frankfurt am Main,,,,info@kgv-fuchstanz.de,erstellten Inhalte,https://www.kgv-fuchstanz.de/impressum/,site,True,kgv-fuchstanz.de,,False
Sattgrün,40235,Düsseldorf,,,,bewerbung@sattgruen.de,cKQde7,https://sattgruen.de,site,False,sattgruen.de,,False
Ristorante Pizzeria Waldhorn,72202,Nagold,,,,p.parisi@ristorante-waldhorn.de,r nach § 55 II RStV:,https://www.ristorante-waldhorn.de/wp-content/themes/bootscore-child/maintenance/legal/impressum.php,site,False,ristorante-waldhorn.de,,False
Nienhaus,48599,Gronau,,,,info@restaurant-nienhaus.de,r / Verantwortliche für journalistisch-redaktionelle Texte:,http://restaurant-nienhaus.de/Kontakt/Impressum,site,True,restaurant-nienhaus.de,,False
Jacobi,79098,Freiburg im Breisgau,,,,restaurant@jacobi-freiburg.de,und Koch Christoph Kaiser,https://jacobi-freiburg.de/,site,False,jacobi-freiburg.de,,False
Backhaus Lüning Bäckerant,55411,Bingen am Rhein,,,,info@backhaus-luening.de,Sabine Harter,https://www.backhaus-luening.de/impressum/,site,True,backhaus-luening.de,,False
Bäckerei-Cafe Härdtner,74847,Obrigheim,,,,info@haerdtner.de,Rolf Härdtner,https://www.haerdtner.de/start.html,site,True,haerdtner.de,,False
Hotel Gasthof Sonne,78567,Fridingen an der Donau,,,,info@sonne-fridingen.de,Michael Hipp,https://www.sonne-fridingen.de/impressum/,site,True,sonne-fridingen.de,,False
Olafs Werkstatt,16845,Neustadt (Dosse),,,,o.werkstatt@t-online.de,alt in allen Bereichen,https://www.olafs-werkstatt.de/index.php?id=start,site,False,t-online.de,,False
Funkhaus,50667,Köln,,,,info@funkhaus-koeln.de,Rodney Ranz,https://www.funkhaus-koeln.de/,site,True,funkhaus-koeln.de,,False
Kastanienhof,17268,Flieth-Stegelitz,,,,info@kastanienhof-uckermark.de,Elke Voß,https://kastanienhof-uckermark.de/impressum/,site,True,kastanienhof-uckermark.de,,False
China Haus,14471,Potsdam,,,,zhang.werder@hotmail.com,"der Domain """,https://www.chinahaus-potsdam.de/impressum.htm,site,False,hotmail.com,,False
Gasthof Stern,86368,Gersthofen,,,,mail@gasthof-stern-gersthofen.de,Michael Josef Seitz,https://gasthof-stern-gersthofen.de/,site,True,gasthof-stern-gersthofen.de,,False
Neubörger Hof,26909,Neubörger,,,,info@neuboergerhof.de,Torsten Korte,http://www.neuboergerhof.de/impressum.htm,site,True,neuboergerhof.de,,False
Goldener Adler,73479,Ellwangen (Jagst),,,,info@pizzeria-goldeneradler.de,Jens C. Rebellato,http://www.pizzeria-goldeneradler.de/impressum,site,True,pizzeria-goldeneradler.de,,False
Purino,33334,Gütersloh,,,,guetersloh@purino.de,Frank Martin Klix,https://purino.de/restaurant/guetersloh/,site,False,purino.de,,False
Gasthaus Faller Hof,83661,Lenggries,,,,info@faller-hof-lenggries.de,Ronny Hinz,http://faller-hof-lenggries.de/,site,True,faller-hof-lenggries.de,,False
"Hotel & Restaurant ""Weißer Hirsch""",38855,Wernigerode,,,,info@hotel-weisser-hirsch.de,Jörg Wieland,https://www.hotel-weisser-hirsch.de/de/impressum/,site,True,hotel-weisser-hirsch.de,,False
