business_name,postal_code,town,state,country,website,email,owner_name,source_url,_source
Napule é,76287,Rheinstetten,,,,,S+Didot%7CGFS+Neohellenic%7CGabriela%7CGafata%7CGalada%7CGaldeano%7CGalindo%7CGen,https://www.napule-e.de/impressum/,site
relexa Waldhotel Schatten,70569,Stuttgart,,,,stuttgart@relexa-hotel.de,"ormcbooking"" class=""bookingelement cbooking"">",https://www.relexa-hotel-stuttgart.de/,site
Oberer See,76185,Karlsruhe,,,,info@oberersee.de,alt erstellt. Für die Richtigkeit,https://www.oberersee-karlsruhe.de,site
Hatz,76131,Karlsruhe,,,,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,"low"":""NONE""",https://www.xn--bcker-hatz-q5a.de,site
Panorama,76137,Karlsruhe,,,,info@panorama-Karlsruhe.eu,,http://www.panorama-karlsruhe.eu/impressum.html,site
Enchilada,76133,Karlsruhe,,,,karlsruhe@enchilada-gruppe.de,alt erstellt. F&uuml;r die Richtigkeit,https://karlsruhe.enchilada.de/impressum/,site
Gioia,76137,Karlsruhe,,,,,,https://expireddomains.com/domain/pizzeria-gioia.de,site
Denkfabrik,76131,Karlsruhe,,,,events@denkfabrik-ka.de,der Seiten verantwortlich. Die verlinkten Seiten wurden zum Zeitpunkt der Verlink,https://denkfabrik-karlsruhe.de/impressum,site
Il Teatro²,76137,Karlsruhe,,,,reservieren@ilteatro.de,rame{position:absolute;width:101%;height:100%;top:50%;left:50%;transform:translat,https://www.ilteatro.de/,site
Zum Sternen,76275,Ettlingen,,,,Info@zum-sternen.com,in eines tagesaktuellen bwtarif-Tickets,https://www.albtal-tourismus.de/gastronomie/restaurant-zum-sternen-45e2710b39,site
Pronto Pronto,76133,Karlsruhe,,,,,,https://p2m-1.forsaledomain.net/true1.php?id=prodqnj2xvrikuxz,site
Trattoria Da Giovanni,76133,Karlsruhe,,,,contact@name.com,"hM2YifQ%3D%3D"">",http://trattoria-da-giovanni.de/,site
King Seng,76137,Karlsruhe,,,,,,https://sedo.com/search/details/?domain=king-seng.de,site
Tiziano,76275,Ettlingen,,,,info@tiziano-ettlingen.de,Familie Colle ist in Baden-Baden schon seit 1966 ein Begriff,https://tiziano-ettlingen.de/,site
Moghul Mahal,76185,Karlsruhe,,,,info@moghul-mahal.de,"RHoJclE07"" data-sstype=""slide"" data-pm=""default"">",https://moghul-mahal.de/,site
Palladio,76275,Ettlingen,,,,ltu_01@yahoo.de,rame{position:absolute;width:101%;height:100%;top:50%;left:50%;transform:translat,https://www.palladio-ettlingen.de/,site
Thasy Tamil Karlsruhe,76137,Karlsruhe,,,,,"N-P88X8-KUS6H-SUJ7N-NMXU9""",https://www.thasykarlsruhe.de/kontakt,site
La Cubanita,76275,Ettlingen,,,,,ristige Sichtbarkeit.,https://www.lacubanita-ettlingen.de,site
Portobello,76275,Ettlingen,,,,,local-annieuseyourtelescope-css' href='https://www.portobello-ettlingen.de/wp-con,https://www.portobello-ettlingen.de/kontakt/,site
Kouros am See,76275,Ettlingen,,,,lagre@t-online.de,ältiger inhaltlicher Kontrolle übernehmen wir keine Haftung für die Inhalte exter,https://www.restaurant-kouros.de/kontakt-anfahrt/impressum/,site
Taqueria Taol,76199,Karlsruhe,,,,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,"low"":""NONE""",https://www.taqueria-taol.de/,site
La Fontana di Capri,68809,Neulußheim,,,,info@visuent.de,rische Fischkreationen &amp; klassische Fleischspezialitäten,http://www.lafontanadicapri.de/,site
Rosine,76275,Ettlingen,,,,die-rosine@gmx.de,nIE1hbmFnZXIgLS0+DQo8c2NyaXB0PihmdW5jdGlvbih3LGQscyxsLGkpe3dbbF09d1tsXXx8W107d1ts,https://wirtshaus-rosine.de/restaurant-ettlingen/,site
Café Binder,72070,Tübingen,,,,info@pension-binder.de,onts/open-sans/open-sans-400.woff2) format('woff2');,https://www.pension-binder.de/,site
Adler,72531,Hohenstein,,,,info@adler-meidelstetten.de,alt,https://adler-meidelstetten.de/impressum,site
Café Hermann,79106,Freiburg im Breisgau,,,,info@hermannfreiburg.de,"WkzxZ.js"">",https://hermannfreiburg.de/,site
Werkbank,76131,Karlsruhe,,,,willkommen@werkbank-karlsruhe.de,Egemen Dogan,http://werkbank-karlsruhe.de/impressum,site
Padellino,76275,Ettlingen,,,,info@padellino.de,Giacomo Baroncino,https://www.padellino.de/impressum,site
Gärtner Hütt,76133,Karlsruhe,,,,andy.scherer@gmx.de,s. Dies gilt vor allem für Vervielfältigung,https://www.gaertner-huett.de/impressum/,site
Café Journal,79098,Freiburg im Breisgau,,,,info@journal-freiburg.de,"WkzxZ.js"">",https://journal-freiburg.de/,site
Eden Galerie meets Blüten Café,79098,Freiburg im Breisgau,,,,info@edengalerie.com,wcHlyZWliZS1kZS5hY2NvdW50Lm15c2hvcGlmeS5jb20&hmac=27f6d7c63447c8313d78c38e6b4d553,https://www.edengalerie.com/,site
Paradies,79106,Freiburg im Breisgau,,,,info@paradies-freiburg.de,der Seiten verantwortlich. Die verlinkten Seiten wurden zum Zeitpunkt der Verlink,https://www.paradies-freiburg.de/de/impressum,site
Harmonie,79098,Freiburg im Breisgau,,,,gewoelbekeller@harmonie-freiburg.de,ixl9{padding:0px 23% 0px 23%;margin:0;}@media(max-width:991px) and (min-width:768,https://restaurant.harmonie-freiburg.de/,site
Aumatt,76530,Baden-Baden,,,,info@aumatt-restaurant.de,"low"":""NONE""",https://www.aumatt-restaurant.de/,site
Wirtshaus zum Goldenen Anker,79102,Freiburg im Breisgau,,,,,Volker Schneider,https://www.goldener-anker-freiburg.de/gasthaus/impressum/,site
Sportpark Bravo,71332,Waiblingen,,,,info@mysite.com,"low"":""NONE""",https://www.sportparkbravo.com/,site
Gasthof Krone,71560,Sulzbach an der Murr,,,,kontakt@sulzbach-krone.de,Daniela D‘Agostino,https://www.sulzbach-krone.de/impressum.html,site
Naturfreundehaus Rheinwaldhütte,76189,Karlsruhe,,,,m_herold@gmx.net,,http://www.beimiri.de/kontakt,site
Gasthaus Auerhahn,76534,Baden-Baden,,,,auerhahn_gruen_trans_kl-v2@2x.png,der Seiten verantwortlich. Die verlinkten Seiten wurden zum Zeitpunkt der Verlink,https://www.gasthaus-auerhahn.de/impressum/,site
Siegels Tellerchen,70435,Stuttgart,,,,info@siegel-backkultur.de,"low"":""NONE""",https://www.siegel-backkultur.de,site
Höhencafe Killesberg,70192,Stuttgart,,,,info@hoehencafe.de,"qXdUAQrGp_zgX5sWCpLQyJPTJoonw1aBA.ttf""",https://hoehencafe.de,site
Rote Taube,76135,Karlsruhe,,,,rote-taube@web.de,altig kursierenden Gerüchten nun endlich ein,https://www.rote-taube.de/,site
Café am Klosterhof,88339,Bad Waldsee,,,,kontakt@eiscafeamklosterhof.de,Teresa Simonetta,https://www.eiscafeamklosterhof.de,site
Korfu,76448,Durmersheim,,,,info@korfu-durmersheim.de,n1PxFaHdKaGF35t5kH4QWh~UU46kNFWWATMlUzKn5b2NU-bOgzQMTwaOUiwZ6taxtkMMR3SlsBcSwviZZ,https://www.korfu-durmersheim.de/,site
Badische Weinstuben,76131,Karlsruhe,,,,info@badische-weinstuben.de,"low"":""NONE""",https://www.badische-weinstuben.de/,site
Mauritius,71332,Waiblingen,,,,feedback@my-mauritius.com,alt erstellt. Für die Richtigkeit,https://www.my-mauritius.com/impressum/,site
Badnerland,76149,Karlsruhe,,,,restaurantbadnerland@web.de,"u-0-0"">",https://restaurant-badnerland.com/,site
Bootshaus an der Lauter,72525,Münsingen,,,,info@kanutouren.com,der Seiten verantwortlich. Die verlinkten Seiten wurden zum Zeitpunkt der Verlink,https://www.kanutouren.com/impressum/,site
Le Bistro,76530,Baden-Baden,,,,service@LBBB.de,sbG93ZnVsbHNjcmVlbj0iIiBzYW5kYm94PSJhbGxvdy1zYW1lLW9yaWdpbiBhbGxvdy1zY3JpcHRzIGFs,https://www.lbbb.de/,site
Gartenzwerg,76199,Karlsruhe,,,,,jaXR5PSIwLjE1Ii8+CjxzdG9wIG9mZnNldD0iNTAlIiBzdG9wLWNvbG9yPSIjZmZmZGZkIiBzdG9wLW9w,https://gartenzwerg-karlsruhe.de/index.php/impressum,site
Juri's Cocktail & Wine Bar,79098,Freiburg im Breisgau,,,,info@juris-bar.de,der Seiten verantwortlich. Die verlinkten Seiten,http://www.juris-bar.de/impressum.html,site
Anker,76437,Rastatt,,,,,Silke Schneider&lt;\/span&gt;&lt;\/p&gt;\n&lt;p&gt;&lt;span style=\&quot;color: #,https://hotel-anker-garni.de/kontakt/,site
Lotus,76530,Baden-Baden,,,,,,https://www.domainmarkt.de/www.chinarestaurant-lotus.de,site
zur Wolfshöhle,79098,Freiburg im Breisgau,,,,info@wolfshoehle-freiburg.de,Martin Fauster,https://www.wolfshoehle-freiburg.de/impressum,site
Löwenbräu Keller,76530,Baden-Baden,,,,info@restaurants-baden-baden.de,orm_heading p.gform_required_legend{display: none;}.gform_wrapper.gravity-theme .,https://keller.loewenbraeu-baden-baden.de/,site
Lemoni,76149,Karlsruhe,,,,info@restaurant-lemoni.de,ile,https://www.restaurant-lemoni-karlsruhe.de/impressum,site
Löwenbräu,76530,Baden-Baden,,,,info@loewenbraeu-baden-baden.de,orm_heading p.gform_required_legend{display: none;}.gform_wrapper.gravity-theme .,https://loewenbraeu-baden-baden.de/,site
Deutscher Kaiser,76149,Karlsruhe,,,,,,https://azs.forsaledomain.net/start.php?id=deuin2eu1umcfy81,site
Heuboden Restaurant Landhaus Blum,79224,Umkirch,,,,info@heuboden.de,Jasmin Müller-Blum,https://www.heuboden.de/impressum,site
Alter Brauhof,76137,Karlsruhe,,,,benutzer@domain.com,"erninseln""",https://www.alterbrauhof.de/,site
Schwarzer Kater,76133,Karlsruhe,,,,info@kater-ka.de,U25ERwvS{padding:10px 10px 10px 10px}div#n2-ss-1 .n-uc-9n1a6HYqXiUu-inner{padding,http://kater-ka.de,site
Krone,76344,Eggenstein-Leopoldshafen,,,,hasanseegin@hotmail.de,wLzEuMC9zVHlwZS9SZXNvdXJjZVJlZiMiIHhtcDpDcmVhdG9yVG9vbD0iQWRvYmUgUGhvdG9zaG9wIENT,https://krone-leopoldshafen.eatbu.com/?lang=de,site
China Schloss,88069,Tettnang,,,,info@china-schloss.de,"ullscreen"":null",https://www.china-schloss.de/,site
NullSechsNeun,88069,Tettnang,,,,info@nullsechsneun-tt.de,"hat Ihren Standort blockiert.""",https://www.nullsechsneun-tt.de/,site
Jägerhof,70376,Stuttgart,,,,info@jaegerhof-mayer.de,,https://jaegerhof-mayer.de/kontakt-anfahrt/,site
Torstuben,88069,Tettnang,,,,rezeption@torstuben-tettnang.de,,https://www.torstuben.de/impressum.html,site
Restaurant Süden,79100,Freiburg im Breisgau,,,,info@freiburgersueden.de,,https://www.freiburgersueden.de/impressum,site
La Perla,88069,Tettnang,,,,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,"low"":""NONE""",https://www.laperlatettnang.com/,site
Café Bar City,88069,Tettnang,,,,city@email.de,wLzEuMC9zVHlwZS9SZXNvdXJjZVJlZiMiIHhtcDpDcmVhdG9yVG9vbD0iQWRvYmUgUGhvdG9zaG9wIENT,https://cafe-bar-city.metro.bar/?lang=de,site
Santo's Cocktail Bar,76137,Karlsruhe,,,,info@hotel-santo.de,"low"":""NONE""",https://www.cocktail-karlsruhe.de/,site
DORMERO Hotel,70567,Stuttgart,,,,kontakt@bocraft.de,"fecbdlAepsnfsp/ef');"">feedback(at)dormero.de",https://www.dormero.de/hotel-stuttgart/,site
Konstantinos,88045,Friedrichshafen,,,,restaurantkonstantinos.fn@gmail.com,wLzEuMC9zVHlwZS9SZXNvdXJjZVJlZiMiIHhtcDpDcmVhdG9yVG9vbD0iQWRvYmUgUGhvdG9zaG9wIENT,https://konstantinos-fn.eatbu.com/?lang=de,site
Bütthof,76534,Baden-Baden,,,,,,https://www.buetthof.de/kontakt/impressum,site
"Gasthof ""Zum Lamm""",71394,Kernen im Remstal,,,,info@lamm-kernen.de,,https://www.lamm-kernen.de/kontakt,site
Taj Palace,76133,Karlsruhe,,,,,,https://tajpalace-ka.de/kontakt/impressum,site
Lindenhof,73072,Donzdorf,,,,omil.cemaoogl@giberchreps.sdiame,,http://www.lindenhof-donzdorf.de/impressum.html,site
Waldheimwirtschaft,70499,Stuttgart,,,,info@waldheim-lindental.de,zZnxiaWJ8Y3N2fGRlYnxkanZ1fGRtZ3xkb2N8ZG9jeHxkd2Z8ZHdnfGZsYWN8Z2lmfGd6fGluZGR8aXNv,https://www.waldheim-lindental.de/bewirtschaftung/waldheimwirtschaft/,site
Sportgaststätte Fairplay,71394,Kernen im Remstal,,,,info@fairplay-rom.de,alt zusammengestellt. Für die Richtigkeit,https://www.fairplay-rom.com/impressum/,site
7 Linden Waldschenke,70327,Stuttgart,,,,info@sieben-linden-waldschenke.de,"ord\u00edt\u00e1sa""",https://www.sieben-linden-waldschenke.de,site
Gasthaus zur Krone,73568,Durlangen,,,,info@krone-durlangen.de,von Drittanbietern zur Verfügung gestellt werden,https://www.krone-durlangen.de/,site
T-Burger,71686,Remseck am Neckar,,,,T.-burger@outlook.de,wLzEuMC9zVHlwZS9SZXNvdXJjZVJlZiMiIHhtcDpDcmVhdG9yVG9vbD0iQWRvYmUgUGhvdG9zaG9wIENT,https://t-burger.eatbu.com/?lang=de,site
Konak Ocakbaşı Restaurant,71394,Kernen im Remstal,,,,support@ufabet.sh,,https://ufabet.poker/,site
Hirsch,77889,Seebach,,,,,,https://p2m-1.forsaledomain.net/true1.php?id=hir2lyak06zvb2nq,site
Zur großen Tanne,77815,Sasbach,,,,info@zurgrossentanne.de,orm_page_footer input[type=button],https://www.zurgrossentanne.de/impressum/,site
Heine's Wine & Dine,76530,Baden-Baden,,,,hello@heine-wine-dine.com,nIE1hbmFnZXIgLS0+DQo8c2NyaXB0PihmdW5jdGlvbih3LGQscyxsLGkpe3dbbF09d1tsXXx8W107d1ts,https://www.heine-wine-dine.com/,site
Osteria Carlin Contrario,76189,Karlsruhe,,,,,,https://osteria-carlin-contrario.de/impressum/,site
Gartenlaube,74080,Heilbronn,,,,party@laube.hn,"geo_google_map\""]""]",https://gartenlaube.com/,site
Hotel-Restaurant zur Sonne,76597,Loffenau,,,,info@sonne-loffenau.de,von Drittanbietern zur Verfügung gestellt werden,https://sonne-loffenau.de,site
Bartista,72070,Tübingen,,,,info@bartista.de,jaEV2ZW50KCJvbnJlYWR5c3RhdGVjaGFuZ2UiLCBvblJlYWR5SWUpOwogICAgICAgICAgICAgICAgICAg,https://bartista.de/,site
Gaststätte Waldheim,73734,Esslingen am Neckar,,,,Aishe.selimi@freenet.de,alt,https://gaststaette-waldheim-zollberg.eatbu.com/?lang=de,site
Nachtigall,76593,Gernsbach,,,,info@liquid-artwork.de,s gekennzeichnet. Die Bildrechte sind nicht auf Dritte übertragbar. Sofern die Ke,https://www.waldgasthausnachtigall.de/impressum.html,site
Jockers,76593,Gernsbach,,,,adiweinhandl@me.com,Adolf Weinhandl,https://www.gasthof-jockers.de/impressum.html,site
Monte Christo Tapas Bar,76530,Baden-Baden,,,,info@monte-christo-baden-baden.de,der Seiten verantwortlich. Die verlinkten Seiten wurden zum Zeitpunkt der Verlink,https://monte-christo-baden-baden.de/impressum/,site
Borsalino,76227,Karlsruhe,,,,info@borsalino-ka.de,der Seiten verantwortlich. Die verlinkten Seiten wurden zum Zeitpunkt der Verlink,https://www.borsalino-ka.de/Impressum.html,site
Maurer,71332,Waiblingen,,,,info@baecker-maurer.de,orm_wrapper.gravity-theme .gfield_label,https://baecker-maurer.de/baeckereien-oeffnungszeiten/,site
Pizzeria Da Salva,76571,Gaggenau,,,,pizzeria-da.salva@tonline.de,wLzEuMC9zVHlwZS9SZXNvdXJjZVJlZiMiIHhtcDpDcmVhdG9yVG9vbD0iQWRvYmUgUGhvdG9zaG9wIENT,https://dasalvapizza.eatbu.com/?lang=de,site
Schwedenscheuer,70771,Leinfelden-Echterdingen,,,,,,https://www.schwedenscheuer.de/restaurant-leinfelden-echterdingen/impressum.html,site
Sternen,76593,Gernsbach,,,,info@sternen-staufenberg.de,S572euaejSC&_nc_ohc=iqTlQ9Y-6f8AX-U-uGa&_nc_ht=scontent-frx5-1.xx&edm=AKIiGfEEAAA,https://sternen-staufenberg.de/,site
Zum Vogelpark,68804,Altlußheim,,,,contact@sansoxygen.com,onts/s/muli/v34/7Aulp_0qiz-aVz7u3PJLcUMYOFnOkEk40eiNxw.woff2) format('woff2');,https://gasthaus-zum-vogelpark.de/,site
Lustnauer Mühle,72074,Tübingen,,,,lustnauer.muehle.it@gmail.com,"ullscreen"":null",https://www.lustnauermuehle.de,site
Dorfstüble Krone,71546,Aspach,,,,fortunato.def@gmail.com,wLzEuMC9zVHlwZS9SZXNvdXJjZVJlZiMiIHhtcDpDcmVhdG9yVG9vbD0iQWRvYmUgUGhvdG9zaG9wIENT,https://dorfstueble.eatbu.com/?lang=de,site
Nigrum,76530,Baden-Baden,,,,info@restaurant-nigrum.de,onts/roboto/KFOmCnqEu92Fr1Me5Q.ttf) format('truetype');,https://www.restaurant-nigrum.de/,site
Courage,73614,Schorndorf,,,,info@courage-kuenkelinhalle.de,der Seiten verantwortlich. Die verlinkten Seiten wurden zum Zeitpunkt der Verlink,http://courage-restaurant.de/impressum,site
Ristorante Pizzeria Bei Angelo,89171,Illerkirchberg,,,,,,https://beiangelo.online/impressum,site
Forellenstüble,79348,Freiamt,,,,,rdA==',https://www.forellenstueble.de/kontakt,site
Pinocchio Ristorante Pizzeria,79539,Lörrach,,,,,Fam. Costa Andresse: Gretherstrasse 18,https://www.pizzeriapinocchio-loerrach.com/impressum,site
Im Abseits,72070,Tübingen,,,,im.abseits@gmail.com,"dw=';if (typeof trackingId === ""string"" && trackingId.length > 0) {let sel = docu",https://www.imabseits.com/,site
Amadeus Hausbräu,76530,Baden-Baden,,,,,,https://www.amadeus-baden-baden.de/impressum.html,site
Grüner Baum,72070,Tübingen,,,,,alt erstellt. F&uuml;r die Richtigkeit,https://www.gruenerbaumhagelloch.de/Impressum.html,site
Gusto,70839,Gerlingen,,,,info@gusto-gerlingen.de,"low"":""NONE""",https://www.gusto-gerlingen.de/,site
Leo´s,76530,Baden-Baden,,,,welcome@leos-baden-baden.de,nIjpyZXR1cm4gbihlLCJcdWQ4M2NcdWRmZjNcdWZlMGZcdTIwMGRcdTI2YTdcdWZlMGYiLCJcdWQ4M2Nc,https://www.leos-baden-baden.de/,site
Zur alten Mühle,75305,Neuenbürg,,,,info@zordel.de,"low"":""NONE""",https://www.zordel.de/,site
"Zum Kreuz, Landgasthof, Hotel",79286,Glottertal,,,,mail@zum-kreuz.com,Karl-Heinrich Kunz,https://www.zum-kreuz.de/de/service/impressum/,site
Adler,79286,Glottertal,,,,info@adler-glottertal.de,"low"":""NONE""",https://www.adler-glottertal.de/,site
Schlösslesmühle,70771,Leinfelden-Echterdingen,,,,,,https://www.schloesslesmuehle.com/impressum.html,site
Shanghai,70839,Gerlingen,,,,info@shanghai-restaurant.de,ileError = false,https://www.shanghai-restaurant.de/impressum.html,site
Wurstküche,72074,Tübingen,,,,info@wurstkueche.com,dieser Seiten nehmen den Schutz Ihrer pers&ouml;nlichen Daten sehr ernst. Wir beh,https://www.wurstkueche.com/impressum/,site
Krone,73312,Geislingen an der Steige,,,,info@hotel-krone-geislingen.de,"it=""cover"" data-bgrepeat=""no-repeat"" data-bgparallax=""off"" class=""rev-slidebg"" da",https://www.hotel-krone-geislingen.de/,site
Hasenheim Bonlanden,70794,Filderstadt,,,,,orm('optin',https://www.hasenheim-bonlanden.de/kontakt,site
Sokrates,76137,Karlsruhe,,,,,iles,https://www.sokrates-karlsruhe.de/,site
"SV Heslach Vereinsgaststätte, Weitmanns Waldhaus",70197,Stuttgart,,,,,"Twvc2NyaXB0Pg==""",https://weitmanns.de/impressum/,site
Da Roberto,72070,Tübingen,,,,info@dp-wired.de,nZUluZGV4IjtpOjA7czoxMzoiACoAZm9ybVZhbHVlcyI7YTowOnt9fQ==b96fedd5bc898862649c7dd2,https://www.pizzeria-da-roberto.de/kontakt,site
Trattoria & Pizzeria Da Luigi,76297,Stutensee,,,,trattoriapizzeriadaluigi.de@t-online.de,s. Das unerlaubte Kopieren/Speichern der bereitgestellten Informationen auf diese,https://www.trattoriapizzeriadaluigi.de/de/impressum,site
Hotel & Restaurant Adler,70806,Kornwestheim,,,,adler@adler-kornwestheim.de,"jaXR5PSIwLjgiIGZpbGwtcnVsZT0iZXZlbm9kZCIvPgo8L3N2Zz4="" alt=""previous arrow"">",https://adler-kornwestheim.de/,site
Eyachmühle,75335,Dobel,,,,Eyachmuehle@gmail.com,Rosina Kelp,https://eyachmuehle.de/,site
I Fratelli,88045,Friedrichshafen,,,,ciao@fratelli-fn.de,,https://fratelli-fn.de/impressum/,site
Hühnerdieb,76327,Pfinztal,,,,kontakt@huehnerdieb.info,der Seiten verantwortlich. Die verlinkten Seiten wurden zum Zeitpunkt der Verlink,https://www.huehnerdieb.info/impressum/,site
Gasthof Lamm,72070,Tübingen,,,,info@lamm-tuebingen.de,alt erstellt. Für die Richtigkeit,https://www.lamm-tuebingen.de/impressum/,site
Taverna Elia,70569,Stuttgart,,,,v.podvorec@hotmail.de,wHAAbJqFbM1LTRlCOG6T6ITwcFyu4eUyFKBjHjzUKbNYXQBmxWbQPXBNtYi2jwBHE13kIqwS8LTi~LiZy,https://www.elia-stuttgart.de/,site
Anker,70794,Filderstadt,,,,info@anker-bernhausen.de,"ullscreen"":null",https://www.anker-bernhausen.de/kontakt,site
Trattoria Oi Vita,71394,Kernen im Remstal,,,,,der Seiten verantwortlich. Die verlinkten Seiten wurden zum Zeitpunkt der Verlink,https://www.trattoria-oivita.de/impressum/,site
Weinstube Zum Pfauen,89518,Heidenheim an der Brenz,,,,info@pfauen.de,der Seiten verantwortlich.,https://www.pfauen.de/impressum,site
Pin‘ Kitchen,79098,Freiburg im Breisgau,,,,,der Website verwendet (First-Party-Cookie),https://pin-kitchen.jimdosite.com/impressum/,site
Maria Bar,79098,Freiburg im Breisgau,,,,maria-16@2x.jpg,zeW5jIGRlZmVyIHNyYz0iaHR0cHM6Ly9tYXBzLmdvb2dsZWFwaXMuY29tL21hcHMvYXBpL2pzP2tleT1B,https://maria-bar.de/,site
Cafe Extrablatt,79098,Freiburg im Breisgau,,,,freiburg@cafe-extrablatt.de,Umut Kus,https://cafe-extrablatt.de/standorte/details/cafe-extrablatt-freiburg,site
Bodega Geier,79098,Freiburg im Breisgau,,,,benutzer@domain.com,"erninseln""",https://www.bodega-geier.de/,site
Divan,79098,Freiburg im Breisgau,,,,umedzhon@icloud.com,"UEEgWkVc5cQO88xd5GZcUTV"" />",https://www.divan-freiburg.de/,site
Kolben-Kaffee-Akademie,79098,Freiburg im Breisgau,,,,mustermann@musterstadt.de,nIjoiRkVFRC5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&#038;_nc_ohc=JV08MhSOpAsQ7kNvwG6m5er&#0,https://www.kolbenkaffee-freiburg.de/,site
Eiscafe Portofino,79098,Freiburg im Breisgau,,,,info@caffeportofino.it,open-sans-css',https://caffeportofino.it/,site
Karma public living room,79098,Freiburg im Breisgau,,,,,,https://expireddomains.com/domain/karmafreiburg.de,site
Tacheles,79098,Freiburg im Breisgau,,,,info@tacheles-freiburg.de,Dominik Hämmerle,http://www.tacheles-freiburg.de/impressum/,site
